Item Name,Design No,Colour (Shades),Purchase Price (Ex-Mill),Sales Price (Retail)
LINEAR SYMPHONY,E3075 / 1TE1002890,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002891,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002892,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002893,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002894,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002895,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002896,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002897,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002898,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002899,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002900,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002901,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1TE1002902,1,1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1PE1003559,"1, 2, 3, 4, 5, 6, 7",1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1PE1003560,"1, 2, 3, 4, 5",1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1PE1003561,"1, 2, 3, 4, 5",1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1PE1003562,"1, 2, 3, 4, 5",1099.00,2080.00
LINEAR SYMPHONY,E3075 / 1PE1003563,"1, 2, 3, 4, 5",1099.00,2080.00
PRIMMIA,E8455 / 1TE1001300,"1, 2, 4, 10, 11, 12, 13, 14, 16, 20, 23, 24, 26, 3, 5, 6, 7, 8, 9, 15, 17, 19, 21, 22, 25, 27, 28",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002810,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002811,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002812,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002813,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002814,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002815,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002816,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002817,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002818,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002819,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002820,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002821,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002822,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002823,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002824,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002825,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002826,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002827,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002828,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002829,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002830,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002831,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002832,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002833,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002834,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002835,"3, 1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002836,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002837,1,1535.00,2905.00
PRIMMIA,E8455 / 1TE1002838,"1, 2",1535.00,2905.00
PRIMMIA,E8455 / 1TE1002839,"1, 2",1535.00,2905.00
EXPRESSIONS,X2998 / 1TX0152852,"1, 6, 8, 3, 4, 5, 9, 2, 7, 10",3999.00,7569.00
EXPRESSIONS,X2998 / 1TX1002781,"1, 2, 4, 3",3999.00,7569.00
EXPRESSIONS,X2998 / 1TX0153087,1,3999.00,7569.00
EXPRESSIONS,X2998 / 1TX1002782,"1, 2",3999.00,7569.00
EXPRESSIONS,X2998 / 1TX1002783,"1, 2, 3, 4",3999.00,7569.00
EXPRESSIONS,X2998 / 1TX1002784,"2, 1, 3",3999.00,7569.00
EXPRESSIONS,X2998 / 1TX1002785,"1, 2",3999.00,7569.00
EXPRESSIONS,E3795 / 1TE0117877,"2, 5, 15, 26, 1, 4, 14, 3, 10, 12, 16, 21, 24",2591.00,4904.00
EXPRESSIONS,E3795 / 1TE0117874,"3, 1, 2, 4, 15, 5, 9",2591.00,4904.00
EXPRESSIONS,E3795 / 1TE1002773,"1, 4, 2, 3",2591.00,4904.00
EXPRESSIONS,E3795 / 1TE1002774,"1, 2",2591.00,4904.00
EXPRESSIONS,E3795 / 1TE1002775,"1, 2, 3",2591.00,4904.00
EXPRESSIONS,E3795 / 1TE1002776,"1, 2, 3, 4",2591.00,4904.00
EXPRESSIONS,E3795 / 1TE1002777,"1, 2, 3, 4",2591.00,4904.00
EXPRESSIONS,E3795 / 1TE1002778,"1, 2, 3",2591.00,4904.00
EXPRESSIONS,E3795 / 1TE1002779,1,2591.00,4904.00
EXPRESSIONS,E3795 / 1TE1002780,"2, 1",2591.00,4904.00
FIT-LUXE,X2959 / 1TX0152541,"1, 2, 3, 4, 5",2015.00,3814.00
FIT-LUXE,X2959 / 1TX0151384,"3, 5, 9, 10, 1, 2, 4, 8, 11, 12, 16",2450.00,4637.00
FIT-LUXE,X2959 / 1TX0151382,"1, 11, 14, 17, 18, 2, 5, 6, 7, 8, 16, 20",2450.00,4637.00
ELATION,W1471 / 1TW1002473,"1, 2, 3, 4, 5, 6, 7",2325.00,4400.00
ELATION,W1471 / 1TW1002474,"1, 2, 3, 4, 5, 6",2325.00,4400.00
ELATION,W1471 / 1TW1002475,"1, 2, 3",2325.00,4400.00
ELATION,W1471 / 1TW1002476,"1, 2, 3, 4, 5, 6",2325.00,4400.00
ELATION,W1471 / 1TW1002477,"1, 2, 3, 4, 5",2325.00,4400.00
ELATION,W1471 / 1TW1002478,"1, 2, 3",2325.00,4400.00
VENIZO,X2958 / 1TX0154244,"1, 3, 4, 5, 10, 16, 18, 21, 25, 29, 2, 6, 8, 9, 11, 15, 17, 19, 20, 31, 12, 13, 14, 22, 24, 26, 27, 28, 30, 32, 33, 34, 35",2095.00,3965.00
VENIZO,X2958 / 1TX1002760,"1, 2, 4, 3, 5",2095.00,3965.00
VENIZO,X2958 / 1TX0155093,"1, 2, 3, 4",2095.00,3965.00
VENIZO,X2958 / 1TX1002761,"1, 2, 3",2095.00,3965.00
VENIZO,X2958 / 1TX1002762,"1, 2",2095.00,3965.00
VENIZO,X2958 / 1TX0155100,"1, 2, 3, 4",2095.00,3965.00
VENIZO,X2958 / 1TX1003534,"1, 2, 3, 4, 5",2095.00,3965.00
VENIZO,X2958 / 1TX0153665,"2, 3, 5, 6",2095.00,3965.00
VENIZO,X2958 / 1TX1002763,"1, 2, 3",2095.00,3965.00
VENIZO,X2958 / 1TX1002764,1,2095.00,3965.00
VENIZO,X2958 / 1TX1002765,"1, 2, 3, 4",2095.00,3965.00
VENIZO,X2958 / 1TX1002766,"1, 2, 3",2095.00,3965.00
VENIZO,X2958 / 1TX1002767,"1, 2, 3, 4",2095.00,3965.00
VENIZO,X2958 / 1TX1002768,"1, 2, 3",2095.00,3965.00
VENIZO,X2958 / 1TX1002769,"1, 2, 3",2095.00,3965.00
VENIZO,X2958 / 1TX1002840,"1, 2, 3",2095.00,3965.00
VENIZO,X2958 / 1TX1002841,"1, 2, 3, 4",2095.00,3965.00
LEXICAN,X2765 / 1TX1001469,"1, 2, 3",1995.00,3776.00
LEXICAN,X2765 / 1TX1001470,"2, 3, 4, 5, 1",1995.00,3776.00
LEXICAN,X2765 / 1TX1001471,"1, 2, 3",1995.00,3776.00
LEXICAN,X2765 / 1TX1001472,"1, 2, 3, 4",1995.00,3776.00
LEXICAN,X2765 / 1TX1001473,"1, 2, 3, 4",1995.00,3776.00
LEXICAN,X2765 / 1TX1001474,"1, 2, 3, 4",1995.00,3776.00
LEXICAN,X2765 / 1TX1001476,"1, 2, 3, 4",1995.00,3776.00
LEXICAN,X2765 / 1TX1001477,"1, 2, 3, 4, 5",1995.00,3776.00
LEXICAN,X2765 / 1TX0134922,"5, 1, 2, 3, 4, 8, 9, 10, 11, 12, 16, 17, 19",1995.00,3776.00
LEXICAN,X2765 / 1TX0139211,"3, 7, 9, 1, 2, 10, 11, 12",1995.00,3776.00
LEXICAN,X2765 / 1TX0134934,"1, 2, 3",1995.00,3776.00
LEXICAN,X2765 / 1TX0140675,"12, 13, 21, 22",1995.00,3776.00
LEXICAN,X2765 / 1TX1001479,"1, 2, 3",1995.00,3776.00
LEXICAN,X2765 / 1TX1001480,"1, 2, 3, 4",1995.00,3776.00
LUXO STRETCH,X2947 / 1PX1001302,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",1999.00,3783.00
LUXOLITE,X2766 / 1PX0134792,"3, 6, 7, 10, 12, 16, 18, 19, 22, 24, 27, 38, 39, 48, 49, 51, 52, 53, 55, 66, 69, 1, 2, 4, 11, 20, 21, 25, 26, 28, 42, 44, 62, 67, 68, 82, 83, 84, 85, 87, 91, 94, 80, 95, 96, 97, 98",1850.00,3501.00
LUXOLITE,X2766 / 1TX0150731,"104, 105, 107, 109, 101, 102, 106, 110, 114, 115, 116, 117, 118, 119, 123, 124, 125, 126, 108, 111, 112, 113, 120, 121, 122",1850.00,3501.00
LUXOLITE,X2766 / 1TX0139489,"1, 2, 3, 4",1850.00,3501.00
LUXOLITE,X2766 / 1TX0150883,"1, 2, 3, 4",1850.00,3501.00
LUXOLITE,X2766 / 1TX0139022,"1, 2, 3, 4, 5, 6",1850.00,3501.00
LUXOLITE,X2766 / 1TX1001451,"1, 2, 3, 4",1850.00,3501.00
LUXOLITE,X2766 / 1TX1001452,"1, 2",1850.00,3501.00
LUXOLITE,X2766 / 1TX1001453,"4, 5, 1, 2, 3",1850.00,3501.00
LUXOLITE,X2766 / 1TX1001455,"1, 2, 3, 4, 5",1850.00,3501.00
