SRNO,INVDATE,INVNO,SUPPLIER,PARTY,ITEM,BRAND,HSN,PCS,QTY,PRATE,ADAT %,DISC %,DISC AMT,RATE,ACCVALUE,GSTPERC,GSTAMT,NET AMT,LRNO,CASE NO,TRANSPORT,SALESPERSON
1,01/04/2026,1,MANIBHADRA TRADELINK,V R PAWAR SAREES,,VAANI FASHION,540754,16,0,545,2,2,-174.4,545,8720,5,435.83,9152.34,0725397,2,J.D.LOGISTICS,AMAR BHAI
2,01/04/2026,1,MANIBHADRA TRADELINK,V R PAWAR SAREES,,VAANI FASHION,540754,24,0,695,2,2,-333.6,695,16680,5,833.67,17507,0725397,2,J.D.LOGISTICS,AMAR BHAI
3,01/04/2026,1,MANIBHADRA TRADELINK,V R PAWAR SAREES,,VAANI FASHION,540754,11,0,1045,2,2,-229.9,1045,11495,5,574.52,12064.92,0725397,2,J.D.LOGISTICS,AMAR BHAI
4,01/04/2026,2,MANIBHADRA TRADELINK,V R PAWAR SAREES,KRISHNA ZALL,SAI DESIGNER CREATIVE,540754,5,0,1825,2,,,1825,9125,5,465.38,9772.88,725264,28,J.D.LOGISTICS,RATAN BHAI
5,01/04/2026,2,MANIBHADRA TRADELINK,V R PAWAR SAREES,ANUMATI NET,SAI DESIGNER CREATIVE,540754,5,0,2575,2,,,2575,12875,5,656.63,13789.13,725264,28,J.D.LOGISTICS,RATAN BHAI
6,01/04/2026,2,MANIBHADRA TRADELINK,V R PAWAR SAREES,DHANTERASH,SAI DESIGNER CREATIVE,540754,5,0,1495,2,,,1495,7475,5,381.23,8005.73,725264,28,J.D.LOGISTICS,RATAN BHAI
7,01/04/2026,2,MANIBHADRA TRADELINK,V R PAWAR SAREES,PUNITA ZALL,SAI DESIGNER CREATIVE,540754,5,0,1725,2,,,1725,8625,5,439.88,9237.38,725264,28,J.D.LOGISTICS,RATAN BHAI
8,01/04/2026,2,MANIBHADRA TRADELINK,V R PAWAR SAREES,BHAVANI ZALL,SAI DESIGNER CREATIVE,540754,4,0,2125,2,,,2125,8500,5,433.5,9103.5,725264,28,J.D.LOGISTICS,RATAN BHAI
9,01/04/2026,2,MANIBHADRA TRADELINK,V R PAWAR SAREES,PRIYANKA,SAI DESIGNER CREATIVE,540754,5,0,1495,2,,,1495,7475,5,381.23,8005.73,725264,28,J.D.LOGISTICS,RATAN BHAI
10,01/04/2026,2,MANIBHADRA TRADELINK,V R PAWAR SAREES,SHYAMLI,SAI DESIGNER CREATIVE,540754,4,0,1795,2,,,1795,7180,5,366.18,7689.78,725264,28,J.D.LOGISTICS,RATAN BHAI
